tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        12/18/2014
                                    ",07/17/2015,Collins,Susan M,Purchase,"
TOLLX
","
                                        
                                            Deutsche Global Infrastructure A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/15/2014
                                    ",07/17/2015,Collins,Susan M,Sale (Full),"
TOLLX
","
                                        
                                            Deutsche Global Infrastructure A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/11/2014
                                    ",07/17/2015,Collins,Susan M,Purchase,"
WASCX
","
                                        
                                            Ivy Asset Strategy C (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/10/2014
                                    ",07/17/2015,Collins,Susan M,Purchase,"
BMGAX
","
                                        
                                            BlackRock Mid-Cap Growth Equity Inv A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/10/2014
                                    ",07/17/2015,Collins,Susan M,Purchase,"
BMGAX
","
                                        
                                            BlackRock Mid-Cap Growth Equity Inv A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/11/2015
                                    ",07/17/2015,Collins,Susan M,Purchase,"
DVFAX
","
                                        
                                            Cohen & Steers Dividend Value A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/11/2014
                                    ",07/17/2015,Collins,Susan M,Purchase,"
DVFAX
","
                                        
                                            Cohen & Steers Dividend Value A (NASDAQ)
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
